Rk,Player Name,Nationality,Position,Clubs,Age,Born,Match Played,Starts,Minutes,90s,Goals,Assists,G+A,G-PK,Penalty Kicks,Penalty Kicks attempts,Yellow Cards,Red Cards,Expected Goals,Non Penalty Expected Goals,Expected Assists Goals,npxG+xAG,Progressive Carries,Prograssive Passes,Progressive Passes Rec
474,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,30,1992,3,0,37,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
475,Jonjo Shelvey,eng ENG,MF,Nott'ham Forest,30,1992,8,6,540,6,0,0,0,0,0,0,2,0,0.2,0.2,0.3,0.5,1,34,0
476,Bernardo Silva,pt POR,"MF,FW",Manchester City,27,1994,34,24,"2,205",24.5,4,5,9,4,0,0,5,0,2.2,2.2,3.3,5.4,90,130,188
477,Thiago Silva,br BRA,DF,Chelsea,37,1984,27,26,"2,352",26.1,0,2,2,0,0,0,2,0,1.5,1.5,0.5,2,8,104,2
478,Ellis Simms,eng ENG,FW,Everton,21,2001,11,2,228,2.5,1,0,1,1,0,0,0,0,0.9,0.9,0.1,0.9,2,4,19
479,Luis Sinisterra,co COL,FW,Leeds United,23,1999,19,13,867,9.6,5,0,5,5,0,0,3,1,3.7,3.7,0.4,4.2,30,39,84
480,Oliver Skipp,eng ENG,MF,Tottenham,21,2000,23,18,"1,491",16.6,1,0,1,1,0,0,7,0,0.3,0.3,0.6,0.9,14,56,25
481,Adam Smith,eng ENG,DF,Bournemouth,31,1991,37,34,"2,943",32.7,0,1,1,0,0,0,11,0,0.5,0.5,1.3,1.8,28,83,54
482,Emile Smith Rowe,eng ENG,"MF,FW",Arsenal,22,2000,12,0,172,1.9,0,2,2,0,0,0,0,0,0.3,0.3,0.7,1,2,7,11
483,Cédric Soares,pt POR,DF,Arsenal,30,1991,2,0,29,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
484,Cédric Soares,pt POR,DF,Fulham,30,1991,6,2,198,2.2,0,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,4,12,12
485,Dominic Solanke,eng ENG,"FW,MF",Bournemouth,24,1997,33,32,"2,860",31.8,6,7,13,6,0,0,2,0,9.1,9.1,3.9,13,70,47,167
486,Manor Solomon,il ISR,FW,Fulham,23,1999,19,4,572,6.4,4,0,4,4,0,0,0,0,1.2,1.2,0.4,1.6,16,24,51
487,Tomáš Souček,cz CZE,MF,West Ham,27,1995,36,32,"2,815",31.3,2,3,5,2,0,0,3,0,4,4,1.9,6,11,88,52
488,Boubakary Soumaré,fr FRA,MF,Leicester City,23,1999,26,20,"1,629",18.1,0,0,0,0,0,0,9,0,0,0,0.4,0.4,17,73,20
